Symbol,GICS Sector,Headquarters Location,Founded
GNRC,Industrials,"Waukesha, Wisconsin",1959
GD,Industrials,"Falls Church, Virginia",1899
GE,Industrials,"Boston, Massachusetts",1892
GIS,Consumer Staples,"Golden Valley, Minnesota",1856
GM,Consumer Discretionary,"Detroit, Michigan",1908
GPC,Consumer Discretionary,"Atlanta, Georgia",1925
GILD,Health Care,"Foster City, California",1987
GL,Financials,"McKinney, Texas",1900
GL,Financials,"McKinney, Texas",1900
GPN,Information Technology,"Atlanta, Georgia",2000
GS,Financials,"New York City, New York",1869
HAL,Energy,"Houston, Texas",1919
HIG,Financials,"Hartford, Connecticut",1810
HAS,Consumer Discretionary,"Pawtucket, Rhode Island",1923
HCA,Health Care,"Nashville, Tennessee",1968
PEAK,Real Estate,"Long Beach, California",1985
HSIC,Health Care,"Melville, New York",1932
HSY,Consumer Staples,"Hershey, Pennsylvania",1894
HES,Energy,"New York City, New York",1919
HPE,Information Technology,"Houston, Texas",2015
HLT,Consumer Discretionary,"Tysons Corner, Virginia",1919
HOLX,Health Care,"Marlborough, Massachusetts",1985
HD,Consumer Discretionary,"Atlanta, Georgia",1978
HON,Industrials,"Charlotte, North Carolina",1906
HRL,Consumer Staples,"Austin, Minnesota",1891
HST,Real Estate,"Bethesda, Maryland",1993
HWM,Industrials,"Pittsburgh, Pennsylvania",2016
HPQ,Information Technology,"Palo Alto, California",1939 (2015)
HPQ,Information Technology,"Palo Alto, California",1939 (2015)
HUM,Health Care,"Louisville, Kentucky",1961
HBAN,Financials,"Columbus, Ohio; Detroit, Michigan",1866
HII,Industrials,"Newport News, Virginia",2011
IBM,Information Technology,"Armonk, New York",1911
IEX,Industrials,"Lake Forest, Illinois",1988
IDXX,Health Care,"Westbrook, Maine",1983
ITW,Industrials,"Glenview, Illinois",1912
ILMN,Health Care,"San Diego, California",1998
INCY,Health Care,"Wilmington, Delaware",1991
IR,Industrials,"Davidson, North Carolina",1859
INTC,Information Technology,"Santa Clara, California",1968
ICE,Financials,"Atlanta, Georgia",2000
IP,Materials,"Memphis, Tennessee",1898
IPG,Communication Services,"New York City, New York",1961 (1930)
IFF,Materials,"New York City, New York",1958 (1889)
INTU,Information Technology,"Mountain View, California",1983
ISRG,Health Care,"Sunnyvale, California",1995
IVZ,Financials,"Atlanta, Georgia",1935
IQV,Health Care,"Durham, North Carolina",1982
IRM,Real Estate,"Boston, Massachusetts",1951
JBHT,Industrials,"Lowell, Arkansas",1961
JKHY,Information Technology,"Monett, Missouri",1976
J,Industrials,"Dallas, Texas",1947
JNJ,Health Care,"New Brunswick, New Jersey",1886
JCI,Industrials,"Cork, Ireland",1885
JPM,Financials,"New York City, New York",2000 (1799 / 1871)
JNPR,Information Technology,"Sunnyvale, California",1996
K,Consumer Staples,"Battle Creek, Michigan",1906
KEY,Financials,"Cleveland, Ohio",1825
KEYS,Information Technology,"Santa Rosa, California",2014
KMB,Consumer Staples,"Irving, Texas",1872
KIM,Real Estate,"New Hyde Park, New York",1958
KMI,Energy,"Houston, Texas",1997
KLAC,Information Technology,"Milpitas, California",1975/1977 (1997)
KHC,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015 (1869)
KR,Consumer Staples,"Cincinnati, Ohio",1883
LHX,Industrials,"Melbourne, Florida",2019 (1895)
LH,Health Care,"Burlington, North Carolina",1978
LRCX,Information Technology,"Fremont, California",1980
LW,Consumer Staples,"Eagle, Idaho",2016 (1950)
LVS,Consumer Discretionary,"Las Vegas, Nevada",1988
LDOS,Industrials,"Reston, Virginia",1969
LEN,Consumer Discretionary,"Miami, Florida",1954
LNC,Financials,"Radnor, Pennsylvania",1905
